#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,DeclaredThroughput,Actualthroughput
192.168.100.1,49536,26238,0,26237,302,1126545928,25934,1126545928,0,0,0,1,1,192.168.101.1,22,52706,0,52706,42902,358984,9802,358984,0,0,0,1,1,1.5658E+12,1.5658E+12,95917.458,32.37,72.557,95882.774,95865.873,32.052,62.707,1,1,0,0,0,0,0,30.684994,30.093,72.805,0.7773,9234,64,64,8.350804,0.007,47.166,4.947253,9595,63,63,0,0,0,0,0,0,1,1,7,1,86,1460,65160,12,64256,64128,0,2056844,16,32,0,0,0,0,0,0,0,0,0,1,1,7,1,1650,1460,1100,28,3145728,64128,0,1136,28,32,0,0,0,0,0,0,0,0,0,0,0,---,953,9802,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,226.0112904,93.95961498
192.168.100.1,49712,25253,0,25252,273,1240040967,24978,1240040968,1,1,0,1,1,192.168.101.1,22,55892,0,55892,45102,399880,10788,399880,0,0,0,1,1,1.5658E+12,1.5658E+12,104679.699,33.019,71.106,104645.223,104644.104,32.715,63.426,1,1,0,0,0,0,0,30.764268,30.035,72.399,0.896977,6973,64,64,10.102024,0.006,46.767,4.324117,10640,63,63,0,0,0,0,0,0,1,1,7,1,119,1460,65160,12,64256,63616,0,2101760,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1805,1460,2700,28,3145472,64128,0,2700,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2517,10788,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,232.2418818,94.7684015
192.168.100.1,49924,20949,0,20948,181,1206412950,20766,1206414400,2,1450,0,1,1,192.168.101.1,22,56795,0,56795,46300,384328,10493,384328,0,0,0,1,1,1.5658E+12,1.5658E+12,101786.635,32.714,71.304,101752.183,101751.614,32.407,63.288,1,1,0,0,0,0,0,30.790402,30.051,74.573,1.3913,3077,64,64,11.852379,0.007,44.246,2.466855,10435,63,63,0,0,0,0,0,0,1,1,7,1,115,1460,65160,16,64256,64128,0,2085340,16,32,0,0,0,0,2,0,0,0,0,1,1,7,1,1867,1460,1100,28,3145728,63744,0,1100,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2430,10493,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,223.7099218,94.81908111
192.168.100.1,50118,18443,0,18442,155,1050881173,18286,1050882624,2,1451,0,1,1,192.168.101.1,22,51486,0,51486,42346,336808,9138,336808,0,0,0,1,1,1.5658E+12,1.5658E+12,88204.49,32.474,71.146,88168.601,88167.933,32.132,63.492,1,1,0,0,0,0,0,30.837374,30.123,74.495,1.636247,2046,64,64,11.804218,0.009,46.657,2.565141,9076,63,63,0,0,0,0,0,0,1,1,7,1,91,1460,65160,16,64256,63616,0,2088728,16,32,0,1,0,0,1,0,0,0,0,1,1,7,1,1487,1460,2896,28,3145728,64128,0,2896,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2066,9137,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,224.3079938,95.31329972
192.168.100.1,50288,20296,0,20295,186,1143360006,20108,1143360008,1,2,0,1,1,192.168.101.1,22,51359,0,51359,41419,367588,9938,367588,0,0,0,1,1,1.5658E+12,1.5658E+12,96773.372,33.319,72.082,96740.057,96739.405,32.965,63.844,1,1,0,0,0,0,0,30.838914,30.039,74.017,1.199785,3778,64,64,11.714165,0.005,44.986,2.654189,9859,63,63,0,0,0,0,0,0,1,1,7,1,107,1460,65160,16,64256,64128,0,2093072,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1640,1460,3132,28,3144832,64128,0,3168,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2868,9938,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,226.2260832,94.51856306
192.168.100.1,50482,18361,0,18360,131,1130748510,18228,1130748512,1,2,0,1,1,192.168.101.1,22,51908,0,51908,42053,359632,9853,359632,0,0,0,1,1,1.5658E+12,1.5658E+12,94847.245,32.472,72.167,94811.915,94811.343,32.173,63.557,1,1,0,0,0,0,0,30.798626,30.095,73.033,1.431057,2570,64,64,12.160695,0.01,46.895,1.668531,9826,63,63,0,0,0,0,0,0,1,1,7,1,95,1460,65160,16,64256,64128,0,2085340,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1469,1460,1100,28,3145728,64128,0,1136,28,32,0,0,0,0,0,0,0,0,0,0,0,---,933,9853,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,228.4271494,95.37428416
192.168.100.1,50652,19306,0,19305,168,1076103398,19136,1076104848,2,1450,0,1,1,192.168.101.1,22,49391,0,49391,40033,345988,9356,345988,0,0,0,1,1,1.5658E+12,1.5658E+12,91039.883,32.52,71.47,91003.445,91002.844,32.158,63.252,1,1,0,0,0,0,0,30.68197,30.07,73.188,1.351516,3050,64,64,11.817972,0.003,44.238,2.810003,9294,63,63,0,0,0,0,0,0,1,1,7,1,97,1460,65160,16,64256,63872,0,2086040,16,32,0,0,0,0,2,0,0,0,0,1,1,7,1,1858,1460,3168,28,3145728,64128,0,3168,28,32,0,0,0,0,0,0,0,0,0,0,0,---,2921,9356,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,228.019894,94.56118022
192.168.100.1,50836,18090,0,18089,135,1088714248,17953,1088714248,0,0,0,1,1,192.168.101.1,22,47088,0,47088,37605,346816,9481,346816,0,0,0,1,1,1.5658E+12,1.5658E+12,91326.528,33.982,72.43,91289.777,91286.974,33.66,64.438,1,1,0,0,0,0,0,30.85015,30.122,72.263,1.190319,3770,64,64,11.982076,0.004,44.748,2.00319,9441,63,63,0,0,0,0,0,0,1,1,7,1,89,1460,65160,16,64256,64128,0,2096696,16,32,0,0,0,0,0,0,0,0,0,1,1,7,1,1537,1460,1100,28,3145728,64128,0,1100,28,32,0,0,0,0,0,0,0,0,0,0,0,---,1336,9481,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,232.1183455,95.36893797
192.168.100.1,51016,17394,0,17393,133,1063491590,17259,1063491592,1,2,0,1,1,192.168.101.1,22,46714,0,46714,37446,339364,9266,339364,0,0,0,1,1,1.5658E+12,1.5658E+12,89256.752,32.636,71.716,89221.709,89219.314,32.337,63.075,1,1,0,0,0,0,0,30.872162,30.1,77.653,1.361319,3166,64,64,12.045952,0.008,47.469,1.777435,9224,63,63,0,0,0,0,0,0,1,1,7,1,88,1460,65160,16,64256,63744,0,2083892,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1393,1460,1548,28,3145728,64128,0,1584,28,32,0,0,0,0,0,0,0,0,0,0,0,---,998,9266,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,214.6875974,95.31976624
192.168.100.1,51192,18027,0,18026,127,1097121285,17898,1097121288,1,3,0,1,1,192.168.101.1,22,48216,0,48216,38658,349624,9556,349624,0,0,0,1,1,1.5658E+12,1.5658E+12,91988.909,32.765,70.874,91955.3,91954.694,32.414,63.278,1,1,0,0,0,0,0,30.801512,30.096,72.77,1.209452,3708,64,64,12.098047,0.007,45.862,1.829669,9518,63,63,0,0,0,0,0,0,1,1,7,1,84,1460,65160,16,64256,64000,0,2068920,16,32,0,0,0,0,1,0,0,0,0,1,1,7,1,1597,1460,1100,28,3145728,64128,0,1136,28,32,0,0,0,0,0,0,0,0,0,0,0,---,890,9556,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,227.4475745,95.41335363
