#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,DeclaredThroughput,Actualthroughput
192.168.100.1,36872,172263,0,172262,392,1143355652,171869,1144428620,303,1072968,0,1,1,192.168.101.1,22,90462,0,90462,80521,367660,9939,367660,0,0,6,1,1,1.56529E+12,1.56529E+12,176565.534,33.579,71.143,176530.508,176529.43,33.281,64.249,1,1,0,0,0,0,0,30.519606,29.986,73.668,0.419109,45301,64,64,4.623369,0.003,45.856,7.676366,9526,63,63,0,0,0,0,0,0,1,1,7,1,198,1460,56472,16,64256,62592,0,1445516,16,32,0,93,0,0,210,0,0,0,0,1,1,7,1,854,1460,3852,28,3145728,64128,0,3852,28,32,2,4,0,0,0,0,0,0,0,0,0,---,55,9933,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,156.9762719,51.85286592
192.168.100.1,37106,131939,0,131938,294,1055079296,131643,1055823568,189,744272,0,1,1,192.168.101.1,22,87229,0,87229,78062,336268,9165,336268,0,0,13,1,1,1.56529E+12,1.56529E+12,132616.359,32.506,69.947,132582.67,132582.083,32.173,63.013,1,1,0,0,0,0,0,30.419039,29.99,72.509,0.410852,42424,64,64,2.607388,0.003,46.517,5.380356,8844,63,63,0,0,0,0,0,0,1,1,7,1,436,1460,59368,16,64256,63616,0,1770904,16,32,0,90,0,0,99,0,0,0,0,1,1,7,1,681,1460,1800,28,3145728,64128,0,1800,28,32,0,13,0,0,0,0,0,0,0,0,0,---,57,9152,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,195.3858418,63.69190504
192.168.100.1,37262,148132,0,148131,560,1168576229,147570,1169559424,229,983195,0,1,1,192.168.101.1,22,81989,0,81989,71813,372556,10174,372556,0,0,9,1,1,1.56529E+12,1.56529E+12,149465.944,32.805,70.972,149431.54,149430.989,32.466,63.228,1,1,0,0,0,0,0,30.518573,29.996,73.849,0.428434,39803,64,64,4.338525,0.003,47.002,7.708566,9575,63,63,0,0,0,0,0,0,1,1,7,1,307,1460,57920,16,64256,64128,0,1420780,16,32,0,102,0,0,127,0,0,0,0,1,1,7,1,729,1460,1100,28,3145728,64128,0,1136,28,32,0,9,0,0,0,0,0,0,0,0,0,---,72,10165,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,153.9119013,62.59937978
192.168.100.1,37446,163226,0,163225,373,1063486298,162851,1064634564,302,1148266,0,1,1,192.168.101.1,22,80891,0,80891,71632,340840,9257,340840,0,0,12,1,1,1.56529E+12,1.56529E+12,162459.707,33.061,70.605,162425.793,162425.099,32.738,63.536,1,1,0,0,0,0,0,30.512691,30.013,72.413,0.403914,40984,64,64,5.153634,0.003,46.806,8.510772,8864,63,63,0,0,0,0,0,0,1,1,7,1,404,1460,49232,12,64256,63360,0,1575424,16,32,0,97,0,0,205,0,0,0,0,1,1,7,1,831,1460,3024,28,3145728,64128,0,3024,28,32,0,12,0,0,0,0,0,0,0,0,0,---,30,9245,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,174.0487482,52.42577787
192.168.100.1,37638,235687,0,235686,175,1248443865,235510,1249912140,433,1468275,0,1,1,192.168.101.1,22,104371,0,104371,93509,396208,10860,396208,0,0,12,1,1,1.56529E+12,1.56529E+12,233877.01,33.173,71.43,233842.807,233842.142,32.814,63.512,1,1,0,0,0,0,0,30.525817,30.002,73.55,0.382104,59200,64,64,5.564359,0.003,46.98,6.988399,10666,63,63,0,0,0,0,0,0,1,1,7,1,410,1460,27512,16,64256,64000,0,794952,16,32,0,101,0,0,332,0,0,0,0,1,1,7,1,1235,1460,1100,28,2202368,64128,0,1136,28,32,1,11,0,0,0,0,0,0,0,0,0,---,21,10848,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,86.46656696,42.75451067
192.168.100.1,37906,174750,0,174749,358,1155963620,174390,1157091612,307,1127992,0,1,1,192.168.101.1,22,95530,0,95530,85463,368164,10065,368164,0,0,7,1,1,1.56529E+12,1.56529E+12,178117.581,33.307,71.592,178081.6,178080.991,33.013,63.867,1,1,0,0,0,0,0,30.465567,30.032,72.531,0.383643,49445,64,64,4.757999,0.004,47.425,7.847172,9699,63,63,0,0,0,0,0,0,1,1,7,1,220,1460,56472,16,64256,64128,0,1442208,16,32,0,141,0,0,166,0,0,0,0,1,1,7,1,969,1460,1100,28,3145728,64128,0,1100,28,32,0,7,0,0,0,0,0,0,0,0,0,---,60,10058,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,159.072176,51.96978784
192.168.100.1,38100,195355,0,195354,371,1168575044,194982,1169726204,336,1151160,0,1,1,192.168.101.1,22,88556,0,88556,78394,371728,10160,371728,0,0,14,1,1,1.56529E+12,1.56529E+12,192768.13,32.883,72.171,192734.501,192733.163,32.606,63.41,1,1,0,0,0,0,0,30.525688,30.011,71.971,0.397394,50141,64,64,4.882864,0.004,46.859,8.180789,9761,63,63,0,0,0,0,0,0,1,1,7,1,459,1460,65160,16,64256,64128,0,2028636,16,32,0,109,0,0,227,0,0,0,0,1,1,7,1,939,1460,1100,28,3145728,64128,0,1100,28,32,1,13,0,0,0,0,0,0,0,0,0,---,88,10146,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,225.4948243,48.54438144
192.168.100.1,38342,172653,0,172652,558,1193797241,172093,1194721068,249,923827,0,1,1,192.168.101.1,22,83530,0,83530,73142,379324,10386,379324,0,0,8,1,1,1.56529E+12,1.56529E+12,170701.617,32.612,71.307,170667.106,170666.527,32.332,63.061,1,1,0,0,0,0,0,30.565806,30.006,74.46,0.462619,39708,64,64,4.186526,0.003,46.398,7.658804,9794,63,63,0,0,0,0,0,0,1,1,7,1,254,1460,44888,16,64256,64128,0,1434968,16,32,0,106,0,0,143,0,0,0,0,1,1,7,1,706,1460,1100,28,3145728,64128,0,1136,28,32,0,8,0,0,0,0,0,0,0,0,0,---,29,10378,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,154.1733011,55.99108381
192.168.100.1,38560,183566,0,183565,101,1238689382,183463,1239977924,345,1288542,0,1,1,192.168.101.1,22,99968,0,99968,90524,346384,9442,346384,0,0,9,1,1,1.56529E+12,1.56529E+12,184564.159,33.545,71.882,184529.569,184528.986,33.211,64.082,1,1,0,0,0,0,0,30.601716,30.018,71.628,0.426807,46098,64,64,5.461555,0.003,44.59,7.831516,9328,63,63,0,0,0,0,0,0,1,1,7,1,295,1460,20272,16,64256,64000,0,583544,16,32,0,171,0,0,174,0,0,0,0,1,1,7,1,830,1460,1100,28,3145728,64128,0,1100,28,32,0,9,0,0,0,0,0,0,0,0,0,---,52,9433,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,65.17495951,53.74729008
192.168.100.1,38786,155992,0,155991,115,1095944625,155875,1096809084,222,864459,0,1,1,192.168.101.1,22,88873,0,88873,80481,311392,8390,311392,0,0,7,1,1,1.56529E+12,1.56529E+12,158463.076,32.59,70.061,158426.884,158426.208,32.305,63.045,1,1,0,0,0,0,0,30.510894,30.001,74.466,0.422726,42716,64,64,5.078265,0.003,46.948,7.398338,8263,63,63,0,0,0,0,0,0,1,1,7,1,253,1460,18824,16,64256,64128,0,745720,16,32,0,111,0,0,111,0,0,0,0,1,1,7,1,656,1460,3096,28,2663808,64128,0,3096,28,32,0,7,0,0,0,0,0,0,0,0,0,---,41,8383,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,80.11387747,55.37234852
