#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,47448,865092,0,865091,865089,130,1,130,0,0,0,1,1,192.168.100.2,80,165046,0,165046,3,10737418497,165041,10737483674,14,65177,0,1,1,1.60383E+12,1.60383E+12,166761.706,43.121,44.249,43.121,166652.727,43.113,43.14,1,1,0,0,1,0,1,0.042665,0.019,0.075,0.028989,3,54,54,49.280976,42.604,84.209,4.101523,2489,64,64,0,0,0,0,0,0,1,1,13,1,1093,8960,130,130,13066240,8192,3,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,14,0,0,0,0,1,1,200,1,299,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049280976,678.1489068,515.1054847
192.168.100.1,47628,710378,0,710377,710375,130,1,130,0,0,0,1,1,192.168.100.2,80,200560,0,200560,5,10736590241,200553,10736653970,23,63729,0,1,1,1.60383E+12,1.60383E+12,190044.36,42.827,44.076,42.827,189944.488,42.82,42.844,1,1,0,0,1,0,1,0.060331,0.017,0.146,0.074191,3,54,54,44.36193,42.297,82.226,2.563786,23519,64,64,0,0,0,0,0,0,1,1,13,1,6167,8960,130,130,13729792,8192,5,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2440,14480,0,3,0,0,18,0,0,2,0,1,1,200,1,330,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.04436193,753.3450416,451.9641191
192.168.100.1,47758,583437,0,583436,583434,130,1,130,0,0,0,1,1,192.168.100.2,80,230258,0,230258,1,10737418497,230255,10737483674,25,65177,0,1,1,1.60383E+12,1.60383E+12,184515.061,42.841,43.366,42.841,184415.78,42.835,42.856,1,1,0,0,1,0,1,0.056331,0.015,0.137,0.069867,3,54,54,43.851395,42.37,66.005,1.188116,54355,64,64,0,0,0,0,0,0,1,1,13,1,2531,8960,130,130,9371648,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4180376,2896,14480,0,2,0,0,23,0,0,0,0,1,1,200,1,1388,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33443008,0.043851395,762.6441074,465.5439449
192.168.100.1,47900,882716,0,882715,882713,130,1,130,0,0,0,1,1,192.168.100.2,80,165301,0,165301,1,10737418501,165298,10737463402,9,44901,0,1,1,1.60383E+12,1.60383E+12,164521.558,43.049,43.781,43.049,164414.664,43.043,43.067,1,1,0,0,1,0,1,0.053998,0.018,0.121,0.058078,3,54,54,49.216386,42.667,82.957,3.860882,3248,64,64,0,0,0,0,0,0,1,1,13,1,270,8960,130,130,57974784,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,2,0,0,7,0,0,0,0,1,1,200,1,355,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049216386,679.0388876,522.1182455
192.168.100.1,48046,757208,0,757207,757205,130,1,130,0,0,0,1,1,192.168.100.2,80,247292,0,247292,1,10737418497,247289,10737490914,31,72417,0,1,1,1.60383E+12,1.60383E+12,207712.075,42.913,43.408,42.913,207613.606,42.906,42.929,1,1,0,0,1,0,1,0.050332,0.016,0.118,0.058603,3,54,54,43.652445,42.323,83.778,1.120657,57257,64,64,0,0,0,0,0,0,1,1,13,1,5640,8960,130,130,44122112,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,4,0,0,27,0,0,0,0,1,1,200,1,661,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.043652445,765.5891898,413.5528823
192.168.100.1,48284,581232,0,581231,581229,130,1,130,0,0,0,1,1,192.168.100.2,80,237653,0,237653,1,10737418501,237650,10737483674,37,65173,0,1,1,1.60383E+12,1.60383E+12,195058.069,42.881,43.321,42.881,194957.508,42.874,42.896,1,1,0,0,1,0,1,0.064998,0.015,0.164,0.085738,3,54,54,43.782511,42.325,66.988,1.372828,50286,64,64,0,0,0,0,0,0,1,1,13,1,2813,8960,130,130,8462336,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,15,0,0,22,0,0,0,0,1,1,200,1,2399,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.043782511,763.3148313,440.3810098
192.168.100.1,48552,825720,0,825719,825717,130,1,130,0,0,0,1,1,192.168.100.2,80,165026,0,165026,1,10737418499,165023,10737466298,12,47799,0,1,1,1.60383E+12,1.60383E+12,164277.084,42.885,43.519,42.885,164171.19,42.878,42.903,1,1,0,0,1,0,1,0.064665,0.018,0.155,0.078245,3,54,54,49.670267,42.649,82.48,3.833511,3015,64,64,0,0,0,0,0,0,1,1,13,1,144,8960,130,130,12296192,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,12,0,0,0,0,1,1,200,1,223,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049670267,672.8339109,522.8953929
192.168.100.1,48672,815050,0,815049,815047,130,1,130,0,0,0,1,1,192.168.100.2,80,165939,0,165939,1,10737418499,165936,10737467746,11,49247,0,1,1,1.60383E+12,1.60383E+12,164217.499,42.926,43.705,42.926,164113.557,42.919,42.945,1,1,0,0,1,0,1,0.034999,0.019,0.067,0.027713,3,54,54,49.343736,42.509,67.341,3.450946,3547,64,64,0,0,0,0,0,0,1,1,13,1,1690,8960,130,130,13795328,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,10,0,0,0,0,1,1,200,1,199,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049343736,677.2863733,523.0851918
192.168.100.1,48846,569169,0,569168,569166,130,1,130,0,0,0,1,1,192.168.100.2,80,216170,0,216170,1,10737418497,216167,10737485122,23,66625,0,1,1,1.60383E+12,1.60383E+12,189888.257,42.972,43.501,42.972,189784.195,42.966,42.996,1,1,0,0,1,0,1,0.073998,0.024,0.153,0.069217,3,54,54,44.160034,42.344,66.591,2.018883,42532,64,64,0,0,0,0,0,0,1,1,13,1,3015,8960,130,130,18522112,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,2,0,0,21,0,0,0,0,1,1,200,1,701,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044160034,756.7892724,452.3706854
192.168.100.1,48964,847409,0,847408,847406,130,1,130,0,0,0,1,1,192.168.100.2,80,165021,0,165021,1,10737418497,165018,10737463402,14,44905,0,1,1,1.60383E+12,1.60383E+12,164312.624,42.907,43.673,42.907,164206.559,42.9,42.925,1,1,0,0,1,0,1,0.062331,0.018,0.134,0.062644,3,54,54,50.219451,42.708,64.93,3.858097,2393,64,64,0,0,0,0,0,0,1,1,13,1,1477,8960,130,130,8773632,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,4,0,0,10,0,0,0,0,1,1,200,1,337,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.050219451,665.4760125,522.7821522
