#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,http_hostname:131,ThroughputC2S,ThroughputS2C
172.16.2.1,41476,11,0,10,4,1784,5,1784,0,0,0,1,1,172.16.1.1,50828,7,0,7,3,1906,2,1906,0,0,0,1,1,1548200387140.932,1548200387429.1665,288.235,46.777,74.745,217.042,129.061,37.113,74.745,1,1,0,0,8192,0,0,37.749871,26.532,64.358,14.815973999999999,6,64,64,5.339117,0.009,10.963,5.967299,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,84.772,129.061,140.024,0.0,1713,0,-,-,0.0,0.0,-,6.189394070810276,6.612659808836539
172.16.2.1,41470,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50828,8,0,8,4,1906,2,1906,0,0,0,1,1,1548200387140.4087,1548200387429.1777,288.769,37.657,75.279,217.574,129.591,37.657,64.342,1,1,0,0,8192,0,0,37.686704999999996,26.463,64.366,14.8663,6,64,64,5.237869,0.004,10.059,5.559397,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,85.306,129.591,130.453,0.0,1713,0,-,-,0.0,0.0,-,6.177948463997174,6.600431486759312
172.16.2.1,41472,18,0,17,4,9889,12,15681,4,5792,3,1,1,172.16.1.1,50828,15,0,15,11,1906,2,1906,0,0,0,1,1,1548200387140.8066,1548200387439.2307,298.424,46.91,74.438,217.177,129.063,46.91,74.438,1,1,0,0,8192,0,0,33.013616,26.159,44.142,7.420235000000001,6,64,64,2.660683,0.009,10.075,4.949336,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,17,33024,29200,0,8160,1,343,0,0,3,0,4,0,0,0,0,1,1,8,1,6,1460,1018,888,51968,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,84.921,129.063,129.611,0.0,1713,0,-,-,0.0,0.0,-,52.54604187330778,6.386885773262205
172.16.2.1,41474,12,0,11,3,7049,7,7049,0,0,0,1,1,172.16.1.1,50828,8,0,8,4,1906,2,1906,0,0,0,1,1,1548200387140.873,1548200387449.392,308.519,47.447,84.682,217.109,129.01,37.191,74.365,1,1,0,0,8192,0,0,38.793017,26.918,64.373,11.811238000000001,7,64,64,5.278868,0.44,10.071,5.517396,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,17,33024,29200,0,5282,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,43520,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,6,2,-,-,0,0,0,94.753,129.01,129.572,0.0,1713,0,-,-,0.0,0.0,-,22.84786350273403,6.177901523082857
172.16.2.1,47694,16,0,15,3,21862,11,23310,1,1448,3,1,1,172.16.1.1,50883,13,0,13,9,1906,2,1906,0,0,0,1,1,1548200392354.377,1548200392659.1848,304.808,41.997,78.558,244.441,123.381,41.997,78.558,1,1,0,0,8192,0,0,37.426251,35.43,41.362,2.327302,5,64,64,13.857654,3.461,37.48,16.012598999999998,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,343,33024,29200,0,14480,1,343,0,0,3,0,1,0,0,0,0,1,1,8,1,3,1460,1018,888,73472,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,3,2,-,-,0,0,0,160.861,123.381,160.891,0.0,4609,0,-,-,0.0,0.0,-,76.47437075142385,6.253116716096691
172.16.2.1,47700,9,0,8,3,1767,4,1767,0,0,1,1,1,172.16.1.1,50883,9,0,9,5,1906,2,1906,0,0,0,1,1,1548200392358.6267,1548200392662.766,304.139,38.942,77.037,156.644,149.921,38.942,75.611,1,1,0,0,8192,0,0,39.675758,27.522,55.304,11.564478,4,64,64,7.261317999999999,0.743,11.42,4.7778,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,1,0,0,0,0,0,0,1,1,8,1,1,1460,1018,888,35584,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,3,2,-,-,0,0,0,156.643,149.921,156.644,0.0,1730,0,-,-,0.0,0.0,-,5.809843525493277,6.266871397617536
172.16.2.1,47696,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50883,8,0,8,4,1906,2,1906,0,0,0,1,1,1548200392358.629,1548200392663.018,304.389,37.382,74.739,139.565,128.214,37.382,63.524,1,1,0,0,8192,0,0,34.49171,26.142,43.612,7.628016000000001,5,64,64,3.554161,1.14,6.166,2.082704,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,84.602,128.214,134.38,0.0,1713,0,-,-,0.0,0.0,-,5.805071799572258,6.261724306725933
172.16.2.1,47698,10,0,9,4,1767,4,1767,0,0,0,1,1,172.16.1.1,50883,7,0,7,3,1906,2,1906,0,0,0,1,1,1548200392358.6277,1548200392663.235,304.607,47.005,76.798,156.975,146.557,37.392,76.798,1,1,0,0,8192,0,0,36.943861,26.929,51.948,9.795356,5,64,64,3.245419,0.675,10.395,4.768221,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,94.609,146.557,156.952,0.0,1713,0,-,-,0.0,0.0,-,5.80091724746969,6.257242939262722
172.16.2.1,41580,5662,0,5661,11,57533843,5649,60107219,1778,2573376,3372,1,1,172.16.1.1,50913,8009,0,8009,8005,1906,2,1906,0,0,0,1,1,1548200391902.816,1548200399865.757,7962.941,36.893,72.989,4339.793,119.551,36.532,63.653,1,1,0,0,8192,0,0,33.266933,26.146,62.398,5.742947,109,64,64,3.397665,0.028,10.361,4.78136,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,38,33024,29200,0,2993872,38,343,1,220,4523,0,404,0,0,2,0,1,1,8,1,7277,1460,1018,888,3145728,28960,0,1018,1,888,0,0,0,0,0,0,0,0,0,0,0,---,29,2,-,-,0,0,0,77.51,119.551,120.083,0.0,1713,0,-,-,0.0,0.0,-,7548.369252013797,0.23935879971985224
172.16.2.1,41584,5433,0,5432,10,72188747,5421,74175514,1374,1986767,3592,1,1,172.16.1.1,50913,9451,0,9451,9447,1906,2,1906,0,0,0,1,1,1548200391901.8362,1548200399867.1663,7965.33,36.934,73.795,4282.537,108.499,36.573,63.629,1,1,0,0,8192,0,0,32.691839,26.05,59.344,5.432206,101,64,64,3.59891,0.041,10.603,4.812773,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,65160,38,33024,29200,0,3189931,1,343,0,97,4450,0,294,0,0,125,0,1,1,8,1,8623,1460,1018,888,3145728,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,22,2,-,-,0,0,0,119.102,108.499,119.112,0.0,14745,0,-,-,0.0,0.0,-,9312.296414586715,0.23928701007993392
