#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,http_hostname:131,ThroughputC2S,ThroughputS2C
172.16.2.1,36744,15,0,14,3,15154,10,15154,0,0,0,1,1,172.16.1.1,50949,11,0,11,7,1906,2,1906,0,0,0,1,1,1548370993283.368,1548370993748.1013,464.733,27.907,54.925,391.007,87.388,27.535,54.239,1,1,0,0,8192,0,0,31.051765999999997,26.332,63.348,12.155818,9,64,64,0.126997,0.003,0.419,0.195639,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,17,33024,29200,0,8143,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,59904,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,7,2,-,-,0,0,0,57.756,87.388,87.807,0.0,1713,0,-,-,0.0,0.0,-,32.60797059817142,4.1012796595034136
172.16.2.1,36742,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50949,7,0,7,3,1906,2,1906,0,0,0,1,1,1548370993283.3025,1548370993748.128,464.825,28.793,56.625,391.058,317.423,27.756,55.428,1,1,0,0,8192,0,0,33.510775,26.377,64.65,15.286247,6,64,64,0.086748,0.004,0.326,0.15954000000000002,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,288.422,317.423,317.749,0.0,1713,0,-,-,0.0,0.0,-,3.8380035497230143,4.100467918033669
172.16.2.1,36746,11,0,10,3,1784,6,3153,1,1369,0,1,1,172.16.1.1,50949,10,0,10,6,1906,2,1906,0,0,0,1,1,1548370993283.4387,1548370993748.1333,464.694,28.664,56.495,390.995,319.911,27.627,55.295,1,1,0,0,8192,0,0,26.719555,26.307,27.623,0.47742299999999993,6,64,64,0.092998,0.003,0.361,0.17866700000000002,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,1,0,0,0,0,0,0,0,0,1,1,8,1,1,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,288.272,319.911,320.272,0.0,1713,0,-,-,0.0,0.0,-,6.785110201551989,4.101623864306403
172.16.2.1,36740,10,0,9,3,1784,5,1784,0,0,0,1,1,172.16.1.1,50949,7,0,7,3,1906,2,1906,0,0,0,1,1,1548370993283.161,1548370993748.136,464.975,28.909,56.727,391.189,94.781,27.87,55.558,1,1,0,0,8192,0,0,33.968101000000004,26.594,64.684,15.141371,6,64,64,0.075748,0.005,0.266,0.12695,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,5,2,-,-,0,0,0,63.71,94.781,95.047,0.0,1713,0,-,-,0.0,0.0,-,3.836765417495564,4.099145115328781
172.16.2.1,52672,17,0,16,3,21862,12,21862,0,0,2,1,1,172.16.1.1,50893,11,0,11,7,1906,2,1906,0,0,0,1,1,1548371001292.5159,1548371001505.73,213.214,26.671,53.408,143.201,85.796,26.224,52.973,1,1,0,0,8192,0,0,26.80272,26.166,29.424,1.288685,6,64,64,0.102497,0.004,0.357,0.170475,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,38,33024,29200,0,13070,1,343,0,0,0,0,2,0,0,0,0,1,1,8,1,1,1460,1018,888,73472,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,56.372,85.796,86.153,0.0,1713,0,-,-,0.0,0.0,-,102.53548078456387,8.9393754631497
172.16.2.1,52674,8,0,7,2,1767,4,1767,0,0,0,1,1,172.16.1.1,50893,7,0,7,3,1906,2,1906,0,0,0,1,1,1548371001292.564,1548371001505.998,213.434,27.475,54.781,96.346,95.431,26.657,53.831,1,1,0,0,8192,0,0,27.974441,26.356,33.471,3.078732,5,64,64,1.9932,0.01,7.179,3.4747980000000003,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,61.96,95.431,96.19,0.0,1713,0,-,-,0.0,0.0,-,8.278905891282552,8.930161080240262
172.16.2.1,52670,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50893,7,0,7,3,1906,2,1906,0,0,0,1,1,1548371001292.455,1548371001506.016,213.561,27.319,54.9,96.448,95.552,26.48,53.827,1,1,0,0,8192,0,0,27.972841,26.475,33.495,3.090417,5,64,64,0.188495,0.004,0.735,0.364343,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,62.057,95.552,96.287,0.0,1713,0,-,-,0.0,0.0,-,8.27398260918426,8.92485051109519
172.16.2.1,52668,9,0,8,3,1767,4,1767,0,0,0,1,1,172.16.1.1,50893,7,0,7,3,1906,2,1906,0,0,0,1,1,1548371001292.2988,1548371001506.0322,213.733,27.448,54.241,96.593,95.681,26.619,53.974,1,1,0,0,8192,0,0,27.993640000000003,26.526,33.487,3.0728590000000002,5,64,64,0.195495,0.003,0.743,0.365127,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,1369,17,33024,29200,0,1369,1,343,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1018,888,33024,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,4,2,-,-,0,0,0,62.194,95.681,96.424,0.0,1713,0,-,-,0.0,0.0,-,8.26732418484745,8.917668305783383
172.16.2.1,51000,6630,0,6629,3,16206318,6626,16229486,16,23168,363,1,0,172.16.1.1,50376,2960,1,2959,2955,1906,2,1906,0,0,0,1,1,1548370999253.5093,1548371057666.027,58412.518,27.413,55.212,58386.04,95.664,26.602,54.073,1,1,0,0,8192,0,0,26.833624,26.146,108.167,3.572282,2012,64,64,0.165246,0.01,0.623,0.305177,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,38,33024,29200,0,63712,38,343,45,42,0,0,291,0,1,0,0,1,1,8,1,574,1460,1018,888,706816,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,144,2,-,-,0,0,0,62.189,95.664,96.287,0.0,1713,0,-,-,0.0,0.0,-,277.84260216277613,0.03262999208491577
172.16.2.1,50994,7111,0,7110,3,17471870,7107,17502278,21,30408,348,1,0,172.16.1.1,50376,2787,1,2786,2782,1906,2,1906,0,0,0,1,1,1548370999253.0898,1548371057670.9158,58417.826,27.057,54.051,58391.686,86.716,26.616,53.488,1,1,0,0,8192,0,0,26.503216,25.927,67.123,2.60193,1949,64,64,0.10674700000000001,0.011,0.341,0.156947,4,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,2896,38,33024,29200,0,46336,38,343,30,13,0,0,326,0,0,0,0,1,1,8,1,539,1460,1018,888,185856,28960,0,1018,888,888,0,0,0,0,0,0,0,0,0,0,0,---,103,2,-,-,0,0,0,56.954,86.716,87.057,0.0,1713,0,-,-,0.0,0.0,-,299.60508972038775,0.0326270272365151
